# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-141620 050Mg 500NaCl #009-001
# Original file ID: 96D00DE0-57C0-477D-98CC-1092F603FAF0
Bead-to-bead distance (um),Force (pN)
19.554,36.899
19.565,36.76
19.57,37.094
19.573,37.606
19.577,37.872
19.59,38.633
19.594,38.503
19.606,39.313
19.602,40.143
19.615,40.362
19.626,40.658
19.631,41.023
19.634,41.288
19.642,41.96
19.646,42.279
19.652,42.83
19.654,42.792
19.672,43.596
19.664,43.53
19.684,44.446
19.685,44.724
19.697,44.666
19.697,45.059
19.697,45.091
19.705,45.904
19.709,46.339
19.716,46.527
19.725,47.108
19.723,47.88
19.739,47.887
19.757,47.787
19.754,48.61
19.754,48.869
19.765,49.425
19.769,50.073
19.78,50.561
19.79,50.852
19.796,51.478
19.795,51.217
19.807,51.392
19.809,51.847
19.807,52.33
19.822,52.468
19.823,52.941
19.821,53.444
19.84,53.691
19.85,53.848
19.855,54.457
19.846,54.722
19.868,55.209
19.857,55.278
19.881,56.102
19.884,55.826
19.897,56.526
19.897,56.83
19.904,56.706
19.906,57.312
19.906,57.468
19.91,57.591
19.921,58.165
19.926,58.022
19.935,58.321
19.937,58.747
19.939,58.837
19.96,59.584
19.961,59.381
19.963,59.982
19.978,60.464
19.981,60.803
19.995,60.811
19.998,61.292
20.01,61.428
20.015,61.432
20.015,61.774
20.019,61.665
20.03,62.28
20.032,62.352
20.043,62.56
20.047,63
20.06,63.26
20.063,63.486
20.077,63.708
20.082,63.972
20.093,63.871
20.098,63.939
20.104,64.051
20.115,64.239
20.116,64.553
20.132,64.525
20.133,65.099
20.13,64.966
20.146,65.117
20.148,65.207
20.158,65.47
20.167,65.241
20.168,65.637
20.168,65.381
20.179,65.723
20.185,66.142
20.203,65.945
20.199,66.2
20.214,66.331
20.231,66.538
20.236,66.361
20.247,66.885
20.257,66.419
20.255,66.923
20.257,67.244
20.272,67.283
20.273,67.287
20.29,67.864
20.291,67.293
20.298,67.717
20.304,67.797
20.31,68.177
20.324,67.672
20.33,67.998
20.343,68.131
20.349,68.284
20.358,68.385
20.36,68.083
20.374,68.439
20.377,68.707
20.377,68.511
20.394,68.814
20.392,68.795
20.407,68.391
20.411,68.265
20.411,68.608
20.425,68.521
20.433,68.777
20.439,68.981
20.447,69.071
20.453,69.056
20.464,69.341
20.479,69.454
20.478,69.477
20.482,69.165
20.478,69.195
20.482,69.336
20.479,69.39
20.495,69.594
20.499,69.89
20.508,69.558
20.518,69.887
20.538,70.217
20.535,70.123
20.55,70.152
20.55,70.204
20.565,69.966
20.568,70.467
20.58,70.075
20.587,70.17
20.595,70.193
20.608,70.435
20.609,70.15
20.62,70.437
20.624,70.592
20.637,70.556
20.654,70.203
20.66,70.151
20.656,70.509
20.669,70.878
20.675,70.447
20.685,70.331
20.703,70.392
20.711,70.477
20.719,70.336
20.728,70.82
20.73,70.501
20.746,70.72
20.745,70.427
20.745,70.208
20.763,70.589
20.769,70.926
20.781,70.682
20.792,70.399
20.802,70.704
20.807,70.54
20.817,70.664
20.823,70.453
20.837,70.858
20.84,70.627
20.854,70.678
20.859,70.892
20.857,70.691
20.869,70.776
20.874,70.396
20.881,71.094
20.891,70.858
20.896,70.755
20.912,71.028
20.911,70.77
20.926,70.837
20.946,70.873
20.946,71.086
20.961,71.139
20.967,71.061
20.975,71.042
20.985,70.866
20.993,70.991
21.004,70.823
21.003,70.753
21.009,70.882
21.024,71.109
21.028,71.129
21.04,71.127
21.06,71.36
21.064,70.778
21.075,71.029
21.082,70.954
21.088,70.89
21.102,71.108
21.106,70.843
21.12,71.28
21.127,71.034
21.138,71.403
21.142,71.302
21.158,71.367
