# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-135158 050Mg 500NaCl #005-001
# Original file ID: 88B9CB79-37F1-4343-9B91-D3095E79EF25
Bead-to-bead distance (um),Force (pN)
20.019,56.441
20.033,56.422
20.037,56.447
20.037,56.353
20.037,56.904
20.04,57.095
20.052,57.458
20.053,57.962
20.065,58.062
20.083,58.366
20.085,58.706
20.093,58.867
20.097,59.248
20.108,59.415
20.116,59.748
20.121,59.719
20.132,60.144
20.137,60.253
20.146,60.319
20.148,60.605
20.147,60.562
20.164,61.15
20.162,61.338
20.177,61.248
20.189,61.377
20.196,61.931
20.197,61.995
20.202,62.576
20.213,62.356
20.229,62.524
20.23,62.69
20.246,62.738
20.242,62.688
20.246,62.617
20.245,62.528
20.26,63.015
20.265,63.217
20.264,63.365
20.281,63.594
20.297,63.842
20.297,63.799
20.315,64.237
20.312,63.952
20.328,64.262
20.329,64.33
20.345,64.439
20.346,64.504
20.36,64.608
20.36,64.744
20.379,64.84
20.38,64.853
20.377,65.197
20.387,65.407
20.397,65.48
20.399,65.596
20.412,65.463
20.427,65.676
20.431,65.712
20.444,65.783
20.449,65.76
20.449,66.053
20.458,66.055
20.466,65.99
20.474,66.197
20.48,66.297
20.486,66.301
20.496,66.339
20.494,66.491
20.514,65.781
20.529,66.497
20.538,66.721
20.546,66.733
20.55,66.605
20.557,66.499
20.568,66.525
20.571,66.821
20.584,66.67
20.588,66.533
20.604,66.641
20.604,66.844
20.618,66.693
20.619,66.669
20.621,66.722
20.633,67.081
20.637,66.793
20.648,66.796
20.654,66.953
20.662,66.732
20.672,66.939
20.688,67.046
20.689,66.949
20.687,66.87
20.706,67.264
20.708,67.287
20.722,67.399
20.74,67.089
20.742,66.821
20.753,66.924
20.761,67.237
20.758,66.839
20.762,66.928
20.78,67.249
20.78,67.341
20.798,67.352
20.795,67.092
20.812,67.337
20.813,66.932
20.83,67.216
20.831,67.104
20.846,66.969
20.851,67.335
20.863,67.65
20.868,67.4
20.867,67.223
20.874,67.129
20.887,67.481
20.886,67.361
20.905,67.475
20.923,67.643
20.923,67.541
20.937,67.41
20.94,67.351
20.944,67.595
20.948,67.367
20.963,67.327
20.978,66.927
20.98,67.333
20.997,67.247
21,67.705
20.998,67.869
21.007,67.59
21.016,67.629
21.027,67.595
21.043,67.592
21.052,67.635
21.056,67.571
21.075,67.543
21.076,67.43
21.092,67.462
21.094,67.701
21.11,67.553
21.11,67.518
21.125,67.798
21.125,67.584
21.128,67.786
21.14,67.578
21.145,67.751
21.158,67.48
21.167,67.606
21.168,67.408
21.187,67.329
21.206,67.817
21.207,67.259
21.219,67.421
21.225,67.803
21.226,67.462
21.231,67.656
21.241,67.862
21.247,67.576
21.259,68.143
21.262,67.517
21.259,67.575
21.281,67.855
21.297,67.58
21.298,67.851
21.31,67.398
21.315,67.68
21.326,68.014
21.337,68.427
21.34,67.689
21.353,67.592
21.357,67.349
21.375,67.925
21.379,67.865
21.389,67.878
21.39,67.962
21.391,67.771
21.405,68.106
21.411,67.942
21.422,67.826
21.428,67.945
21.432,68.362
21.449,68.629
21.465,68.203
21.465,67.928
21.478,67.907
21.482,67.915
21.499,67.907
21.501,67.817
21.516,68.039
21.52,68.344
21.527,68.335
21.539,68.046
21.537,68.252
21.542,67.815
21.557,67.825
21.577,68.22
21.578,68.233
21.592,68.328
21.595,68.357
21.607,67.977
21.612,67.964
21.626,68.178
21.634,68.191
21.639,68.147
21.651,68.627
21.652,68.207
21.667,68.361
21.669,67.949
21.686,68.112
21.688,68.358
21.694,68.181
21.704,68.118
21.716,68.003
21.724,68.244
21.731,68.353
21.751,68.142
21.757,68.421
21.762,68.014
21.778,68.192
21.778,68.078
21.799,68.272
21.799,68.256
