# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-144939 150Mg 500NaCl #001-001
# Original file ID: 20487637-621C-4FA4-AA35-866E65754ECD
Bead-to-bead distance (um),Force (pN)
19.616,35.594
19.615,36.262
19.618,36.253
19.629,37.13
19.629,37.766
19.64,37.715
19.651,38.719
19.653,38.73
19.665,38.624
19.666,39.466
19.669,39.989
19.673,40.439
19.683,40.873
19.692,41.364
19.694,41.571
19.703,41.377
19.707,41.512
19.706,42.249
19.705,42.153
19.716,42.836
19.721,44.024
19.728,44.069
19.731,44.357
19.744,44.92
19.744,45.093
19.758,45.909
19.76,45.99
19.771,46.8
19.77,46.64
19.784,47.573
19.784,47.283
19.793,47.678
19.802,48.261
19.793,48.337
19.805,49
19.806,49.465
19.814,50.14
19.825,50.098
19.833,50.089
19.837,50.83
19.838,51.619
19.851,51.469
19.861,52.517
19.864,52.652
19.875,52.464
19.877,52.394
19.878,52.968
19.878,53.477
19.883,53.585
19.891,54.182
19.893,54.944
19.907,54.98
19.916,55.616
19.918,55.726
19.932,56.078
19.933,56.445
19.945,56.85
19.948,57.076
19.958,57.498
19.961,57.813
19.968,58.023
19.979,58.431
19.984,58.509
19.995,58.754
19.993,58.98
19.994,59.34
20.008,59.709
20.007,60.245
20.018,60.491
20.035,60.559
20.038,60.828
20.036,61.212
20.05,61.275
20.053,61.688
20.059,62.42
20.07,62.227
20.083,63.156
20.087,62.568
20.096,62.988
20.098,63.201
20.114,63.216
20.118,63.415
20.116,63.532
20.125,63.921
20.129,64.127
20.14,64.813
20.149,64.295
20.15,64.691
20.162,65.295
20.169,64.972
20.175,65.23
20.179,65.178
20.199,65.663
20.198,65.6
20.216,66.092
20.214,66.097
20.229,65.897
20.232,66.045
20.236,65.901
20.25,66.349
20.254,66.389
20.265,67.025
20.269,67.417
20.28,67.397
20.295,67.717
20.298,67.418
20.313,67.851
20.317,68.13
20.331,68.166
20.335,68.457
20.346,68.268
20.351,68.732
20.36,68.843
20.367,68.654
20.368,69.039
20.372,69.467
20.386,68.591
20.402,68.465
20.406,68.707
20.424,69.3
20.424,68.913
20.436,69.442
20.441,69.377
20.451,69.516
20.455,69.95
20.467,69.93
20.482,69.949
20.495,69.486
20.492,69.944
20.496,69.9
20.512,70.503
20.512,70.394
20.525,70.452
20.527,70.747
20.54,70.624
