# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-143429 050Mg 500NaCl #012-001
# Original file ID: F98106BC-4D34-4225-9391-13E7A02B3DB0
Bead-to-bead distance (um),Force (pN)
19.726,40.363
19.723,40.466
19.734,41.153
19.742,41.359
19.751,41.378
19.755,41.486
19.754,42.216
19.758,42.32
19.765,42.966
19.768,43.027
19.78,43.034
19.779,43.803
19.782,44.768
19.792,44.436
19.805,45.347
19.807,45.344
19.813,45.934
19.823,46.38
19.829,46.734
19.835,47.158
19.836,47.07
19.849,47.115
19.848,47.9
19.847,47.76
19.86,48.71
19.863,48.758
19.869,49.144
19.873,49.443
19.884,49.959
19.89,50.231
19.897,50.864
19.903,51.042
19.908,51.455
19.915,52.235
19.922,52.501
19.934,52.639
19.946,52.368
19.944,52.527
19.944,53.262
19.942,53.191
19.956,53.928
19.961,54.541
19.972,54.689
19.986,54.878
19.992,55.337
19.996,55.398
20.003,56.005
20.009,56.1
20.019,56.71
20.023,56.836
20.036,57.131
20.035,57.238
20.052,57.215
20.05,57.579
20.05,58.027
20.065,58.375
20.064,58.387
20.076,58.662
20.082,59.146
20.089,58.923
20.095,59.316
20.096,59.637
20.097,59.96
20.115,59.922
20.13,59.846
20.131,60.094
20.129,60.956
20.129,60.604
20.144,60.911
20.143,61.327
20.156,61.732
20.166,61.799
20.172,62.255
20.179,62.203
20.19,62.696
20.192,62.596
20.205,62.925
20.208,62.349
20.226,62.98
20.227,63.209
20.24,63.48
20.242,63.726
20.253,63.945
20.259,64.037
20.267,64.085
20.275,64.105
20.276,64.487
20.277,64.331
20.29,64.75
20.291,64.917
20.31,64.672
20.312,64.967
20.31,64.787
20.325,64.948
20.329,65.168
20.334,65.31
20.346,65.656
20.355,65.387
20.367,65.198
20.382,65.43
20.381,65.857
20.379,65.584
20.398,65.988
20.396,66.261
20.41,66.162
20.423,66.182
20.433,66.351
20.44,66.444
20.449,66.747
20.452,67.042
20.473,66.791
20.483,66.984
20.486,67.763
20.502,66.947
20.499,66.871
20.503,67.066
20.518,67.489
20.523,67.49
20.532,67.449
20.54,67.612
20.556,67.775
20.555,67.702
20.571,67.49
20.573,67.666
20.572,67.921
20.588,67.973
20.589,68.166
20.599,67.984
20.612,67.698
20.624,67.931
20.624,67.942
20.63,68.352
20.641,67.994
20.644,68.296
20.66,68.289
20.677,68.692
20.678,68.286
20.689,68.639
20.693,68.384
20.708,68.441
20.713,68.655
20.724,68.669
20.726,68.205
20.74,68.03
20.75,67.943
20.75,68.064
20.756,68.14
