# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-140841 050Mg 500NaCl #008-001
# Original file ID: C16EF511-775C-420D-A83A-2C970661C8D5
Bead-to-bead distance (um),Force (pN)
19.626,38.918
19.634,38.88
19.643,39.717
19.645,39.909
19.656,40.469
19.656,40.757
19.671,40.685
19.669,41.072
19.668,41.509
19.677,41.85
19.683,42.479
19.69,42.448
19.699,43.327
19.698,43.317
19.712,43.323
19.716,44.284
19.713,44.992
19.724,45.013
19.736,45.05
19.739,45.664
19.737,46.029
19.749,46.478
19.755,46.905
19.764,47.099
19.768,47.899
19.772,48.557
19.784,48.714
19.795,49.431
19.797,49.368
19.811,49.858
19.809,50.133
19.822,50.822
19.825,51.18
19.835,51.464
19.839,51.819
19.853,52.503
19.854,52.624
19.861,52.552
19.87,52.67
19.869,53.488
19.869,53.637
19.884,54.237
19.885,54.055
19.897,54.895
19.898,55.157
19.912,55.158
19.915,55.138
19.909,56.031
19.925,56.443
19.944,56.572
19.948,57.067
19.954,57.055
19.963,56.886
19.955,57.627
19.955,57.745
19.97,58.332
19.973,58.793
19.994,58.945
20.008,59.413
20.005,59.718
20.024,59.975
20.027,60.438
20.022,60.314
20.03,60.747
20.044,60.862
20.047,61.204
20.056,61.428
20.067,61.649
20.069,61.772
20.095,61.647
20.083,61.781
20.093,62.546
20.081,62.741
20.099,62.631
20.112,62.897
20.119,63.091
20.115,63.528
20.128,63.845
20.14,63.467
20.146,64.062
20.151,64.009
20.15,64.23
20.163,64.599
20.176,64.481
20.182,65.048
20.186,65.277
20.199,65.34
20.207,65.382
20.216,65.55
20.226,65.831
20.243,66.229
20.237,66.153
20.252,66.623
20.252,66.374
20.27,66.902
20.271,66.715
20.283,67.484
20.286,67.235
20.297,67.226
20.305,67.461
20.302,67.586
20.314,67.344
20.318,67.351
20.329,67.299
20.34,67.468
20.346,67.886
20.361,67.731
20.37,67.71
20.374,67.905
20.376,67.462
20.391,67.506
20.394,67.713
20.409,68.121
20.426,68.143
20.43,68.457
20.434,68.356
20.446,68.44
20.443,68.342
20.446,68.521
20.462,68.462
20.462,68.454
20.476,68.697
20.48,68.488
20.493,68.465
20.499,68.348
20.511,68.566
20.517,68.625
20.523,68.491
20.534,68.187
20.546,68.282
20.553,68.585
20.559,68.716
20.566,68.863
20.568,68.956
20.568,68.913
20.582,68.693
20.586,69.081
20.596,68.609
20.606,69.072
20.608,68.963
20.61,69.153
20.621,69.442
20.625,69.108
20.639,69.148
20.641,69.306
20.657,69.509
20.67,69.719
20.67,69.651
20.682,68.873
20.694,69.452
20.69,69.942
20.694,69.703
20.709,69.737
20.71,69.678
20.724,69.659
20.727,69.933
20.744,69.683
20.745,69.393
20.757,69.817
20.763,69.744
20.776,69.835
20.782,69.692
20.794,69.817
20.8,69.881
20.81,70.061
20.817,69.968
20.816,69.748
20.817,69.851
20.836,69.787
20.836,69.753
20.852,69.858
20.852,69.883
20.85,69.922
20.851,69.817
20.866,69.677
20.886,70.281
20.894,70.029
20.903,70.337
20.906,70.366
20.918,70.053
20.923,69.833
20.924,70.455
20.928,70.204
20.945,70.05
20.959,69.919
20.962,70.521
20.982,70.045
20.98,70.064
20.999,70.17
21.002,70.2
21.013,70.18
21.018,70.144
21.023,70.06
21.037,69.928
21.04,70.159
21.041,69.843
21.057,70.285
21.057,69.995
21.067,70.453
21.075,70.527
21.086,70.624
21.094,70.099
21.101,69.979
21.118,70.435
21.132,70.711
21.133,70.492
21.148,70.194
21.155,70.421
21.167,70.586
21.171,70.05
21.188,70.095
21.19,70.227
21.191,70.434
21.199,70.475
21.207,70.483
21.222,70.323
21.234,70.233
21.243,70.202
21.249,70.713
21.264,70.378
21.261,70.603
21.28,70.755
21.28,70.706
21.296,70.572
21.3,70.712
21.311,70.138
21.316,70.271
21.315,70.855
21.32,70.156
21.325,70.618
21.342,70.566
21.338,70.193
21.357,70.448
21.375,70.62
21.374,70.107
21.386,70.461
21.394,70.383
21.405,70.261
21.413,69.869
21.425,70.161
21.432,70.439
21.433,70.023
21.447,70.526
21.45,70.426
21.453,70.352
21.465,70.38
21.469,70.695
21.487,70.421
21.502,70.659
21.501,70.5
21.518,70.421
21.527,70.431
21.533,70.476
21.549,70.551
21.559,70.384
21.559,70.385
21.563,70.533
21.576,70.539
21.585,70.711
21.596,70.712
21.609,70.617
21.627,70.42
21.633,70.56
21.638,70.616
21.647,70.512
21.658,70.985
21.669,70.714
21.676,70.793
21.688,70.869
21.692,71.162
21.704,70.67
21.706,70.244
21.723,70.493
21.724,70.505
21.723,70.665
21.739,70.632
21.739,70.655
21.755,70.584
21.759,71.317
21.764,70.959
21.783,71.124
21.796,70.8
21.799,70.589
21.813,70.818
21.814,70.828
21.814,71.116
21.815,70.668
21.828,70.649
21.85,70.979
21.849,71.049
21.851,71.382
21.86,70.735
21.876,71.104
21.89,70.62
21.896,70.63
21.907,71.113
21.911,71.056
21.923,70.852
21.928,71.087
21.941,71.518
21.946,70.857
21.957,70.887
21.965,70.843
21.981,70.703
21.984,70.618
21.998,71
22,71.377
21.996,71.173
22.009,71.258
22.018,71.246
22.018,70.772
22.021,70.842
22.039,71.183
22.037,71.128
22.061,71.064
22.074,70.731
22.075,71.101
22.091,71.168
22.093,70.638
22.105,70.934
22.112,70.671
22.122,70.647
22.131,70.626
22.134,70.999
22.133,70.923
22.153,70.919
22.149,71.196
22.17,70.432
22.17,70.733
22.182,70.867
22.189,70.852
22.199,71.002
22.208,71.026
22.206,70.799
22.211,70.831
22.227,70.909
22.23,70.781
22.245,71.084
22.247,71.149
22.267,71.162
22.269,71.165
22.275,70.957
22.283,71.188
22.292,71.461
22.308,71.238
22.321,70.827
22.324,71.129
22.343,71.357
22.342,70.928
22.357,71.398
22.363,70.888
22.376,71.206
22.379,70.678
22.394,70.997
22.401,71.105
22.398,70.956
22.406,71.006
22.416,70.851
22.421,70.9
22.437,70.839
22.445,70.542
22.457,71.062
22.454,71.212
22.456,71.173
