# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-145759 150Mg 500NaCl #002-001
# Original file ID: E8B86DD2-BB2C-4965-937A-4BA90B200509
Bead-to-bead distance (um),Force (pN)
19.138,13.98
19.139,13.879
19.151,14.243
19.154,14.477
19.165,14.934
19.169,14.716
19.179,15.264
19.183,15.438
19.193,15.652
19.197,15.588
19.207,16.146
19.214,16.265
19.217,16.476
19.231,16.544
19.228,16.839
19.23,17.163
19.243,17.133
19.252,17.846
19.26,17.875
19.269,18.294
19.273,18.256
19.287,18.694
19.287,19.054
19.297,18.812
19.303,19.124
19.303,19.583
19.305,20.198
19.32,20.199
19.328,20.834
19.333,20.64
19.343,20.598
19.345,21.335
19.346,21.313
19.355,21.797
19.357,22.044
19.365,22.423
19.375,22.523
19.382,22.97
19.392,23.381
19.391,23.675
19.397,23.957
19.403,24.114
19.415,24.603
19.418,24.867
19.424,25.332
19.427,25.303
19.442,25.414
19.44,25.334
19.442,25.275
19.444,25.415
19.44,25.736
19.441,26.086
19.455,26.588
19.458,27.067
19.462,27.378
19.472,27.716
19.483,28.26
19.486,28.295
19.499,29.134
19.499,29.048
19.51,29.75
19.511,29.837
19.523,30.486
19.522,30.374
19.533,30.681
19.536,31.106
19.536,31.259
19.547,31.801
19.55,31.975
19.555,32.58
19.563,32.936
19.57,33.338
19.578,33.79
19.581,33.722
19.588,34.004
19.588,34.792
19.594,35.308
19.607,35.323
19.62,35.416
19.618,36.154
19.615,36.148
19.627,36.951
19.629,37.711
19.638,38.05
19.651,38.52
19.651,38.945
19.663,39.531
19.667,39.658
19.671,40.039
19.681,40.6
19.68,40.741
19.691,41.609
19.696,41.564
19.707,42.349
19.709,42.314
19.718,42.279
19.72,43.201
19.72,43.175
19.732,44.057
19.732,44.061
19.744,44.512
19.745,44.992
19.75,45.13
19.758,46.197
19.761,46.427
19.774,46.729
19.785,47.502
19.787,47.546
19.798,47.372
19.796,47.393
19.796,48.012
19.8,48.438
19.807,48.828
19.812,49.647
