# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-142640 050Mg 500NaCl #011-001
# Original file ID: 5359C4EF-683F-4D2F-9510-F58E6E686353
Bead-to-bead distance (um),Force (pN)
19.156,15.219
19.165,15.178
19.168,15.024
19.17,15.388
19.174,15.571
19.173,15.517
19.18,15.964
19.185,16.559
19.238,16.559
19.254,16.907
19.253,17.032
19.263,17.289
19.236,17.524
19.242,17.895
19.276,18.227
19.253,18.315
19.283,18.932
19.285,18.931
19.297,18.906
19.296,19.283
19.291,19.389
19.306,19.846
19.332,20.495
19.34,20.728
19.346,20.701
19.349,21.195
19.329,21.152
19.362,21.384
19.362,21.929
19.363,22.347
19.372,22.431
19.402,23.188
19.38,23.15
19.412,23.1
19.411,23.532
19.417,23.733
19.416,24.132
19.4,24.552
19.428,25.106
19.431,25.047
19.442,25.729
19.447,25.889
19.452,26.399
19.452,26.569
19.459,27.062
19.459,27.523
19.469,27.833
19.475,28.04
19.476,28.506
19.481,28.766
19.486,28.806
19.512,28.893
19.514,29.489
19.518,29.643
19.522,30.342
19.524,30.418
19.526,30.298
19.534,31.079
19.531,31.258
19.559,31.759
19.539,32.038
19.548,32.086
19.572,32.268
19.574,32.81
19.571,32.825
19.561,33.697
19.581,33.637
19.591,33.656
19.595,33.737
19.588,34.277
19.566,34.83
19.59,35.46
19.6,35.57
19.604,36.233
19.608,36.379
19.613,37.107
19.634,36.983
19.65,37.801
19.649,37.929
19.635,38.812
19.661,38.918
19.664,39.528
19.659,39.72
19.673,39.706
19.677,39.711
19.677,40.383
19.678,40.703
19.712,41.42
19.683,41.824
19.691,42.113
19.695,42.303
19.723,42.861
19.72,43.356
19.732,43.046
19.737,43.602
19.735,44.252
19.738,44.37
19.743,44.948
19.746,45.3
19.772,45.846
19.759,46.589
19.784,46.7
19.79,47.614
19.779,47.669
19.801,47.982
19.802,48.392
19.81,48.848
19.817,49.143
19.821,49.665
19.828,50.185
19.828,50.352
19.833,50.91
19.853,51.059
19.86,51.033
19.855,51.936
19.862,52.079
19.877,52.733
19.877,52.751
19.886,53.087
19.889,53.644
19.89,54.38
19.899,54.514
19.911,54.987
19.912,55.186
19.922,55.023
19.923,55.08
19.924,55.778
19.939,56.462
19.942,56.668
19.95,56.483
19.957,56.64
19.963,57.365
19.965,58.077
19.976,58.124
19.981,58.569
19.986,58.743
19.992,59.26
20.012,59.312
20.012,59.657
20.019,59.887
20.03,60.452
20.038,60.665
20.039,60.821
20.046,61.388
20.049,61.133
20.061,61.338
20.059,61.834
20.06,61.777
20.071,62.442
20.074,62.572
20.093,62.945
20.112,63.275
20.112,63.224
20.12,63.358
20.127,63.841
20.133,64.004
20.14,64.492
20.14,64.911
20.156,65.046
20.178,65.087
20.178,65.507
20.197,65.616
20.193,66.022
20.206,66.223
20.221,66.354
20.225,66.399
20.231,66.392
20.246,66.803
20.242,66.87
20.263,66.823
20.263,67.187
20.281,67.153
20.28,67.262
20.295,67.614
20.298,67.423
20.309,67.338
20.313,67.425
20.333,67.642
20.328,67.556
20.324,67.509
20.343,68.039
20.357,67.837
20.368,67.919
20.369,67.975
20.369,68.271
20.382,68.342
20.387,68.387
20.393,68.547
20.411,68.616
20.415,67.789
20.417,67.77
20.447,68.15
20.448,67.874
20.462,67.978
20.466,68.17
20.465,68.709
20.473,68.445
20.484,69.007
20.493,68.818
20.499,69.162
20.52,68.891
20.524,69.143
20.537,69.301
20.536,69.327
20.548,69.572
20.553,69.711
20.562,69.661
20.563,69.653
20.566,69.683
20.576,69.722
20.578,69.956
20.589,70.261
20.594,69.939
20.618,70.018
20.621,70.011
20.617,69.938
20.634,70.21
20.635,70.422
20.65,70.163
20.66,70.823
20.665,70.381
20.674,70.93
20.688,70.164
20.702,70.455
20.709,70.414
20.714,70.762
20.724,70.761
20.723,70.796
20.722,70.929
20.736,71.001
20.739,70.845
20.752,71.021
20.752,71.072
20.776,71.029
20.77,70.994
20.79,71.011
20.797,71.231
20.802,70.755
20.811,71.156
20.815,71.492
20.829,71.035
20.825,71.273
20.825,70.778
20.842,71.057
20.844,71.674
20.849,71.381
20.864,71.412
20.887,71.723
20.883,71.569
20.903,71.418
20.915,71.963
20.92,71.58
20.932,71.392
20.936,71.18
20.956,71.619
20.949,71.811
20.96,71.387
20.974,71.269
20.976,71.53
20.979,71.531
20.995,71.691
21.009,71.626
21.012,71.355
21.023,71.543
21.026,71.761
21.05,72.106
21.05,71.93
21.058,72.043
21.065,71.792
21.069,71.76
21.076,71.597
21.091,71.612
21.101,71.721
21.103,71.595
21.119,71.336
21.12,71.547
21.122,71.62
21.132,71.702
21.147,71.572
21.157,71.421
21.164,71.719
21.172,71.68
21.184,71.362
21.198,71.499
21.199,71.79
21.215,71.858
21.214,71.768
21.238,71.781
21.231,71.491
21.252,71.985
21.259,71.883
21.256,71.923
21.258,71.385
21.277,71.513
21.293,72.094
21.294,72.229
21.303,71.701
21.316,71.81
21.33,71.847
21.334,71.81
21.343,72.38
21.353,72.12
21.35,72.24
21.358,72.088
21.37,72.018
21.379,72.194
21.383,72.078
21.383,71.913
21.396,71.839
21.411,71.859
21.427,71.544
21.439,71.698
21.444,72.199
21.455,72.183
21.459,72.175
21.462,71.742
21.475,71.732
21.477,71.858
21.493,71.807
21.492,72.455
21.521,72.195
21.519,72.14
21.538,72.002
21.536,72.222
21.538,72.086
21.542,72.074
21.552,71.607
21.555,72.105
21.569,72.523
21.572,72.712
21.581,71.996
21.578,72.103
21.611,71.823
21.624,71.979
21.628,72.14
21.641,72.269
21.645,71.818
21.642,71.931
21.643,72.476
21.65,72.207
21.658,72.182
21.662,72.04
21.675,72.168
21.689,71.876
21.698,71.772
21.718,71.53
21.714,71.766
21.73,71.899
21.733,72.304
21.746,72.019
21.748,71.92
21.759,72.726
21.768,72.705
21.785,72.258
21.775,72.007
21.792,72.254
21.79,72.284
21.808,72.287
21.807,72.061
21.82,72.336
21.826,72.37
21.839,72.374
21.852,72.43
21.855,72.483
21.874,72.136
21.882,72.229
21.882,71.909
21.886,72.376
21.889,72.2
21.898,71.972
21.901,72.329
21.917,72.351
21.926,72.227
21.932,72.643
21.94,71.894
21.946,72.33
21.972,72.017
21.974,71.84
21.983,71.805
21.995,72.17
21.995,72.645
22.007,72.5
22.009,72.201
22.023,72.337
22.027,72.103
22.025,72.377
22.036,72.11
22.041,72.101
22.062,72.594
22.067,72.726
22.083,72.067
22.086,72.251
22.088,72.276
22.1,72.794
22.104,72.612
22.12,72.271
22.13,72.508
22.151,72.601
22.142,72.726
22.165,72.145
22.167,72.398
22.184,71.757
22.182,72.52
22.182,72.384
22.197,72.565
22.2,72.42
22.209,72.471
22.216,72.348
22.223,72.622
22.244,72.516
22.234,72.331
22.261,72.411
22.264,72.206
22.277,71.932
22.277,72.352
22.294,72.001
22.293,72.302
22.309,72.594
22.31,71.915
22.321,72.305
22.311,72.051
22.315,72.995
22.343,72.375
22.352,72.558
22.355,72.039
22.371,72.198
22.375,72.484
22.398,72.464
22.388,72.447
22.402,72.807
22.416,72.538
22.428,72.477
22.435,72.686
22.441,72.586
22.444,72.561
22.45,72.704
22.45,72.833
22.461,72.902
22.464,72.594
22.479,72.88
22.49,72.589
22.492,72.611
22.519,72.229
22.526,72.839
22.535,72.592
22.54,72.336
22.541,72.338
22.541,72.731
22.547,72.783
22.556,72.901
22.557,72.767
22.571,72.547
22.595,72.631
22.589,72.649
22.612,72.299
22.616,72.631
22.624,72.468
22.635,72.24
22.637,72.437
22.653,72.524
22.652,72.702
22.666,72.685
22.668,72.132
22.693,72.667
22.684,72.634
22.694,72.423
22.702,72.503
22.709,72.404
22.719,72.455
22.729,72.471
22.743,72.596
22.741,73.151
22.757,72.726
22.756,72.702
22.767,73.004
22.757,72.816
22.781,72.721
22.794,72.803
22.804,72.959
22.806,72.532
22.818,72.767
22.819,73.096
22.817,73.38
22.831,72.999
22.845,72.716
22.852,72.647
22.871,72.761
22.881,73.058
22.884,73.118
22.899,72.814
22.899,72.893
22.913,73.03
22.912,72.72
22.925,72.806
22.928,72.643
22.929,72.795
22.953,72.447
22.954,72.423
22.963,72.546
22.973,72.979
22.976,72.625
22.988,72.927
22.988,72.75
23.007,72.645
23.018,72.552
23.024,72.803
23.044,72.592
23.045,72.94
23.06,72.946
23.065,72.431
23.073,72.774
23.085,72.89
23.082,73.03
23.088,72.645
23.097,72.362
23.103,72.809
23.117,73.059
23.144,72.836
23.145,73.144
23.157,73.33
23.162,72.813
23.169,72.67
23.178,73.099
23.177,72.83
23.185,72.83
23.197,72.714
23.209,73.259
23.211,73.092
23.238,73.316
23.24,73.125
23.236,72.71
23.24,73.12
23.251,73.181
23.263,73.264
23.271,73.56
23.274,73.491
23.289,73.167
23.294,73.408
23.301,73.234
23.303,73.219
23.331,73.643
23.319,73.342
23.343,73.158
23.348,73.088
23.357,73.223
23.363,72.714
23.364,72.844
23.368,73.366
23.382,73.464
23.393,72.864
23.407,73.042
23.398,73.547
23.424,73.446
23.44,73.307
23.444,73.072
23.452,72.947
23.459,72.995
23.458,73.283
23.461,72.983
23.464,73.232
23.475,72.772
23.475,72.845
23.493,72.799
23.517,73.211
23.522,72.949
23.529,72.95
23.538,73.208
23.544,73.204
23.549,73.162
23.558,73.182
23.578,72.995
23.571,73.131
23.596,73.045
23.596,73.395
23.61,73.111
23.612,72.984
23.611,72.648
23.627,72.724
23.629,73.22
23.643,73.396
23.648,73.088
23.658,72.987
23.659,73.323
23.662,73.291
23.674,73.253
23.686,72.977
